timestamp_ms,latency_ms,phase
1775633300308,76,before
1775633300386,25,before
1775633300386,45,before
1775633300386,56,before
1775633300386,66,before
1775633300386,95,before
1775633300482,29,before
1775633300482,41,before
1775633300482,50,before
1775633300482,71,before
1775633300482,89,before
1775633300572,51,before
1775633300572,55,before
1775633300572,80,before
1775633300572,90,before
1775633300572,119,before
1775633300692,21,before
1775633300692,25,before
1775633300692,71,before
1775633300692,75,before
1775633300692,109,before
1775633300802,31,before
1775633300802,41,before
1775633300802,69,before
1775633300802,81,before
1775633300802,85,before
1775633300888,23,before
1775633300888,53,before
1775633300888,63,before
1775633300888,67,before
1775633300888,95,before
1775633300984,47,before
1775633300984,78,before
1775633300984,97,before
1775633300984,119,before
1775633300984,137,before
1775633301122,33,before
1775633301122,59,before
1775633301122,71,before
1775633301122,74,before
1775633301122,111,before
1775633301234,39,before
1775633301234,43,before
1775633301234,67,before
1775633301234,72,before
1775633301234,87,before
1775633301322,31,before
1775633301322,40,before
1775633301322,48,before
1775633301322,69,before
1775633301322,80,before
1775633301403,28,before
1775633301403,32,before
1775633301403,58,before
1775633301403,69,before
1775633301403,74,before
1775633301478,35,before
1775633301478,45,before
1775633301478,67,before
1775633301478,85,before
1775633301478,92,before
1775633301571,60,before
1775633301571,70,before
1775633301571,102,before
1775633301571,110,before
1775633301571,120,before
1775633301692,186,before
1775633301692,186,before
1775633301692,186,before
1775633301692,186,before
1775633301692,186,before
1775633301879,24,before
1775633301879,33,before
1775633301879,64,before
1775633301879,74,before
1775633301879,78,before
1775633301957,191,before
1775633301958,191,before
1775633301958,191,before
1775633301958,191,before
1775633301958,191,before
1775633302150,43,before
1775633302150,52,before
1775633302150,72,before
1775633302150,76,before
1775633302150,82,before
1775633302233,174,before
1775633302234,174,before
1775633302234,173,before
1775633302234,174,before
1775633302234,174,before
1775633302408,24,before
1775633302408,52,before
1775633302408,65,before
1775633302408,72,before
1775633302408,94,before
1775633302504,153,before
1775633302504,153,before
1775633302504,154,before
1775633302504,153,before
1775633302505,153,before
1775633302659,42,before
1775633302659,54,before
1775633302659,82,before
1775633302659,92,before
1775633302659,98,before
1775633302758,215,before
1775633302758,235,before
1775633302758,254,before
1775633302758,439,before
1775633302759,262,before
1775633303199,46,before
1775633303199,51,before
1775633303199,73,before
1775633303199,84,before
1775633303199,268,before
1775633303467,35,before
1775633303467,45,before
1775633303468,55,before
