system,experiment,request_id,is_cold,client_us,network_rtt_us,function_exec_us,overhead_us,pct_network,pct_function,pct_overhead
Lambda,throughput-c1,48a1c9e5710a451494de9515e0348130,False,22052,4901.0,2185,14966.0,22.2,9.9,67.9
Lambda,throughput-c1,fca214506f1142849d9663e41d919a03,False,23864,4823.0,2313,16728.0,20.2,9.7,70.1
Lambda,throughput-c1,7e53d2d8b2f44888a37340cf9ef99fdf,False,22512,5662.0,2080,14770.0,25.2,9.2,65.6
Lambda,throughput-c1,0c4e0cfd42c243a8bba6c4e5828189f1,False,28597,4625.0,2204,21768.0,16.2,7.7,76.1
Lambda,throughput-c1,8650ef465a3f417c983f1a8917967b29,False,24892,5025.0,2290,17577.0,20.2,9.2,70.6
Lambda,throughput-c1,2766e7fad8c14061ae6fcf44dd83f439,False,29850,4772.0,2194,22884.0,16.0,7.4,76.7
Lambda,throughput-c1,5805a11541a845f5963c3a900befa164,False,29490,5352.0,2182,21956.0,18.1,7.4,74.5
Lambda,throughput-c1,137a53dd8bb54c059decfec77864de2b,False,22396,4550.0,2071,15775.0,20.3,9.2,70.4
Lambda,throughput-c1,0c40d3cf133349c19fc090c4cbd17e26,False,26991,4680.0,2051,20260.0,17.3,7.6,75.1
Lambda,throughput-c1,22da84401a544302b1f274878c44cc1a,False,28737,5256.0,2228,21253.0,18.3,7.8,74.0
